"gene_ensembl_ID" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene" "DE"
"ENSMUSG00000025279" 4375.36297929752 14.0828901630781 1.68004710852268 8.38243766596621 5.1842650463908e-17 2.22810695580753e-14 "Dnase1l3" TRUE
"ENSMUSG00000024137" 145.675450430213 -19.7759820818305 2.37423342173716 -8.32941778208185 8.1240893967188e-17 3.34610932027356e-14 "E4f1" TRUE
"ENSMUSG00000025474" 112.465192134179 -20.9693562644404 2.52634545466461 -8.30027272229253 1.03872671039386e-16 4.10712541289732e-14 "Tubgcp2" TRUE
"ENSMUSG00000042298" 50.1050471086861 -20.3482345674171 2.45400232933698 -8.29185625627127 1.11494621044873e-16 4.23893972703294e-14 "Ttc19" TRUE
"ENSMUSG00000058207" 8868.02432928065 16.1183412119246 1.95258647726103 8.25486676243623 1.52071791549591e-16 5.5675172572878e-14 "Serpina3k" TRUE
"ENSMUSG00000093752" 185.5299393133 -21.9511012164301 2.67305219149813 -8.21199873547079 2.17536567173048e-16 7.53052446400959e-14 "Gm20716" TRUE
"ENSMUSG00000027569" 58.0351902651061 -20.7754323594061 2.53045936365868 -8.2101426554299 2.20925856809588e-16 7.53052446400959e-14 "Mrgbp" TRUE
"ENSMUSG00000032093" 47.2164742746315 -21.9940827720493 2.70590840616952 -8.12816971997366 4.3582073353935e-16 1.43602931701216e-13 "Cd3e" TRUE
"ENSMUSG00000025375" 74.7271793038213 -20.6509996750495 2.58582985865034 -7.98621750227145 1.39142101305675e-15 4.43683764969871e-13 "Aatk" TRUE
"ENSMUSG00000027323" 153.768317650222 -20.6724830063684 2.59073894319422 -7.97937710423286 1.47073598084601e-15 4.54319536583213e-13 "Rad51" TRUE
"ENSMUSG00000032066" 120.666609303045 -20.3346888074187 2.554272372814 -7.96104950429241 1.70586115207003e-15 5.1098295418825e-13 "Bco2" TRUE
"ENSMUSG00000051329" 89.0757002369307 -20.0904249340785 2.52712348893439 -7.94991816666231 1.86634758673814e-15 5.42613114556073e-13 "Nup160" TRUE
"ENSMUSG00000020707" 149.796023305171 -20.7678555690999 2.61587694744034 -7.93915615542292 2.0356136623171e-15 5.74915458628702e-13 "Rnf135" TRUE
"ENSMUSG00000020395" 125.369716190125 -19.8277595293074 2.53613816981621 -7.81809120862855 5.36303278816618e-15 1.47259941975063e-12 "Itk" TRUE
"ENSMUSG00000017499" 46.2240483428735 -20.8699603871971 2.68749634445468 -7.76557721846196 8.12742311333199e-15 2.1713399317645e-12 "Cdc6" TRUE
"ENSMUSG00000043065" 27.6504424350419 -20.3384754885967 2.6202558985963 -7.76201877820112 8.35880255256742e-15 2.17438850610866e-12 "Spice1" TRUE
