"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_DIRECT","melanosome","0.59%","15","2509","100","29722","4.12e-2","2.49e-1","1.78","1.00e+0","2.21e-1","2.05e-2"
"GOTERM_BP_DIRECT","protein processing","0.59%","15","2485","100","29712","3.86e-2","4.51e-1","1.79","1.00e+0","4.36e-1","1.90e-2"
"UP_SEQ_FEATURE","ACT_SITE:Glycyl thioester intermediate","0.59%","15","2463","76","22253","3.79e-2","1.00e+0","1.78","1.00e+0","9.95e-1","1.83e-2"
"UP_SEQ_FEATURE","DOMAIN:PHD-type","0.59%","15","2463","76","22253","3.79e-2","1.00e+0","1.78","1.00e+0","9.95e-1","1.83e-2"
"INTERPRO","MFS","0.59%","15","2526","70","22271","2.40e-2","1.00e+0","1.89","1.00e+0","9.99e-1","1.08e-2"
"GOTERM_MF_DIRECT","scaffold protein binding","0.59%","15","2457","92","28924","2.30e-2","2.19e-1","1.92","1.00e+0","2.05e-1","1.05e-2"
"UP_SEQ_FEATURE","REPEAT:TPR 5","0.59%","15","2463","70","22253","1.98e-2","1.00e+0","1.94","1.00e+0","9.95e-1","8.71e-3"
"SMART","C1","0.59%","15","1284","65","10943","1.68e-2","7.60e-1","1.97","1.00e+0","7.59e-1","7.20e-3"
"INTERPRO","PE/DAG-bd","0.59%","15","2526","67","22271","1.67e-2","1.00e+0","1.97","1.00e+0","9.99e-1","7.16e-3"
"GOTERM_BP_DIRECT","positive regulation of translation","0.59%","15","2485","87","29712","1.29e-2","2.25e-1","2.06","1.00e+0","2.18e-1","5.46e-3"
"GOTERM_BP_DIRECT","phosphatidylinositol 3-kinase/protein kinase B signal transduction","0.59%","15","2485","86","29712","1.17e-2","2.09e-1","2.09","1.00e+0","2.02e-1","4.89e-3"
"GOTERM_BP_DIRECT","nucleosome assembly","0.59%","15","2485","85","29712","1.06e-2","1.95e-1","2.11","1.00e+0","1.89e-1","4.36e-3"
"GOTERM_MF_DIRECT","ribosome binding","0.59%","15","2457","83","28924","9.81e-3","1.14e-1","2.13","1.00e+0","1.06e-1","4.00e-3"
"INTERPRO","C1-like_sf","0.59%","15","2526","63","22271","9.80e-3","1.00e+0","2.10","1.00e+0","9.99e-1","3.90e-3"
"GOTERM_BP_DIRECT","positive regulation of protein catabolic process","0.59%","15","2485","84","29712","9.56e-3","1.89e-1","2.14","1.00e+0","1.83e-1","3.89e-3"
"KEGG_PATHWAY","Viral life cycle - HIV-1","0.59%","15","1084","63","9565","9.56e-3","1.02e-1","2.10","9.65e-1","9.11e-2","3.80e-3"
"GOTERM_BP_DIRECT","response to glucose","0.59%","15","2485","83","29712","8.61e-3","1.78e-1","2.16","1.00e+0","1.73e-1","3.45e-3"
"GOTERM_CC_DIRECT","autophagosome","0.59%","15","2509","80","29722","6.72e-3","6.36e-2","2.22","9.99e-1","5.65e-2","2.61e-3"
"KEGG_PATHWAY","Nucleotide excision repair","0.59%","15","1084","58","9565","4.43e-3","6.74e-2","2.28","7.89e-1","6.05e-2","1.59e-3"
"GOTERM_BP_DIRECT","negative regulation of NF-kappaB transcription factor activity","0.59%","15","2485","77","29712","4.37e-3","1.13e-1","2.33","1.00e+0","1.09e-1","1.61e-3"
"GOTERM_BP_DIRECT","learning","0.59%","15","2485","76","29712","3.87e-3","1.05e-1","2.36","1.00e+0","1.02e-1","1.40e-3"
"GOTERM_BP_DIRECT","Ras protein signal transduction","0.59%","15","2485","70","29712","1.74e-3","6.17e-2","2.56","1.00e+0","5.97e-2","5.73e-4"
"GOTERM_BP_DIRECT","positive regulation of protein binding","0.59%","15","2485","66","29712","9.56e-4","4.00e-2","2.72","9.97e-1","3.87e-2","2.93e-4"
"GOTERM_BP_DIRECT","positive regulation of interleukin-8 production","0.59%","15","2485","61","29712","4.13e-4","2.28e-2","2.94","9.20e-1","2.21e-2","1.15e-4"
"GOTERM_BP_DIRECT","RNA processing","0.59%","15","2485","57","29712","1.94e-4","1.35e-2","3.15","6.95e-1","1.31e-2","4.93e-5"
"UP_SEQ_FEATURE","DOMAIN:BZIP","0.59%","15","2463","44","22253","1.82e-4","4.19e-2","3.08","6.18e-1","4.17e-2","4.40e-5"
"GOTERM_CC_DIRECT","autophagosome membrane","0.59%","15","2509","56","29722","1.74e-4","3.19e-3","3.17","1.74e-1","2.83e-3","4.38e-5"
"GOTERM_BP_DIRECT","response to unfolded protein","0.59%","15","2485","56","29712","1.58e-4","1.15e-2","3.20","6.20e-1","1.12e-2","3.93e-5"
"GOTERM_BP_DIRECT","tRNA processing","0.59%","15","2485","44","29712","8.13e-6","1.04e-3","4.08","4.86e-2","1.01e-3","1.46e-6"
"GOTERM_CC_DIRECT","mediator complex","0.59%","15","2509","40","29722","2.52e-6","6.60e-5","4.44","2.77e-3","5.85e-5","3.96e-7"
"GOTERM_BP_DIRECT","regulation of actin cytoskeleton organization","0.55%","14","2485","104","29712","9.33e-2","7.25e-1","1.61","1.00e+0","7.02e-1","5.13e-2"
"KEGG_PATHWAY","Bacterial invasion of epithelial cells","0.55%","14","1084","77","9565","9.08e-2","3.70e-1","1.60","1.00e+0","3.32e-1","4.91e-2"
"KEGG_PATHWAY","Synaptic vesicle cycle","0.55%","14","1084","77","9565","9.08e-2","3.70e-1","1.60","1.00e+0","3.32e-1","4.91e-2"
"GOTERM_BP_DIRECT","cell chemotaxis","0.55%","14","2485","101","29712","7.81e-2","6.67e-1","1.66","1.00e+0","6.46e-1","4.16e-2"
"KEGG_PATHWAY","Glioma","0.55%","14","1084","75","9565","7.70e-2","3.42e-1","1.65","1.00e+0","3.07e-1","4.04e-2"
"GOTERM_BP_DIRECT","cerebral cortex development","0.55%","14","2485","100","29712","7.34e-2","6.34e-1","1.67","1.00e+0","6.14e-1","3.87e-2"
